RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434848,18K06885,2018-11-16 20:00:00,2018,11,20,16,6D,LARCENY FROM AUTO,,UNKNOWN,EASTERN,MADISON-EASTEND,STREET,39.29917107064404,-76.57683474024206,0.95,0.01,25000,0.41,Black
434849,18H04673,2018-08-12 12:00:00,2018,8,12,12,5A,BURGLARY,,UNKNOWN,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,OTHER/RESIDENTIAL,39.28337681274526,-76.64470892181374,0.63,0.28,52000,0.22,Black
434850,18H04543,2018-08-12 12:00:00,2018,8,12,12,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHWEST,PIMLICO GOOD NEIGHBORS,STREET,39.352384129655086,-76.66986603538153,0.63,0.28,52000,0.22,Black
434851,18H04527,2018-08-12 11:21:00,2018,8,11,12,6C,LARCENY,,UNKNOWN,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,RETAIL/SMALL BUSINES,39.28253875524992,-76.62695158685705,0.48,0.42,42000,0.21,Neither
434852,18H04588,2018-08-12 14:30:00,2018,8,14,12,3AF,ROBBERY,,FIREARM,NORTHEAST,OLD GOUCHER,STREET,39.315207571294366,-76.61688858282096,0.63,0.28,52000,0.22,Black
434853,18H04526,2018-08-12 10:30:00,2018,8,10,12,6G,LARCENY,,UNKNOWN,NORTHWEST,GARWYN OAKS,ROW/TOWNHOUSE-OCC,39.31929872863465,-76.68101780626243,0.63,0.28,52000,0.22,Black
434854,18H09102,2018-08-24 09:10:00,2018,8,9,24,6G,LARCENY,,UNKNOWN,NORTHEAST,FRANKFORD,APT/CONDO - OCCUPIED,39.3358927888173,-76.55443760963838,0.65,0.22,39000,0.25,Black
434855,18H09793,2018-08-24 00:35:00,2018,8,0,24,5A,BURGLARY,,UNKNOWN,SOUTHWEST,MORRELL PARK,ROW/TOWNHOUSE-OCC,39.26623936176198,-76.65505049696867,0.55,0.32,41000,0.22,Black
434856,18H09266,2018-08-24 15:03:00,2018,8,15,24,4C,AGG. ASSAULT,,OTHER,CENTRAL,DRUID HEIGHTS,STREET,39.3096295339822,-76.63683540178718,0.94,0.02,27000,0.38,Black
434857,18J00204,2018-08-24 14:00:00,2018,8,14,24,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHWEST,REISTERSTOWN STATION,STREET,39.34976190754824,-76.69332463819924,0.63,0.28,52000,0.22,Black
434858,18H09366,2018-08-24 20:48:00,2018,8,20,24,4C,AGG. ASSAULT,,OTHER,CENTRAL,SETON HILL,STREET,39.29746212413989,-76.62307749759113,0.58,0.32,38000,0.26,Black
434859,18H09224,2018-08-24 10:00:00,2018,8,10,24,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHWEST,GARWYN OAKS,STREET,39.31738375267448,-76.67745469992822,0.63,0.28,52000,0.22,Black
