City,Year,Month,Mode,Race_Category,N_Total,N_Detected,N_Reported,Detection_Rate,Reporting_Rate,N_Officers,Radius_ft,Reporting_Prob
Chicago,2022,5,reported,White,3668,20,1932,0.005453,0.526718,60,700,0.521
Chicago,2022,5,reported,Neither,7443,31,3944,0.004165,0.529894,60,700,0.521
Chicago,2022,6,reported,Black,8682,80,4572,0.009214,0.526607,60,700,0.521
Chicago,2022,6,reported,White,3917,48,2070,0.012254,0.528466,60,700,0.521
Chicago,2022,6,reported,Neither,7838,47,4057,0.005996,0.517607,60,700,0.521
Chicago,2022,7,reported,Black,9281,86,4865,0.009266,0.524189,60,700,0.521
Chicago,2022,7,reported,White,4588,112,2487,0.024412,0.542066,60,700,0.521
Chicago,2022,7,reported,Neither,8027,24,4153,0.00299,0.517379,60,700,0.521
Chicago,2022,8,reported,Black,9707,168,5116,0.017307,0.527042,60,700,0.521
Chicago,2022,8,reported,White,3999,42,2105,0.010503,0.526382,60,700,0.521
Chicago,2022,8,reported,Neither,8178,51,4370,0.006236,0.53436,60,700,0.521
Chicago,2022,9,reported,Black,9821,92,5193,0.009368,0.528765,60,700,0.521
Chicago,2022,9,reported,White,3947,56,2110,0.014188,0.534583,60,700,0.521
Chicago,2022,9,reported,Neither,8106,28,4245,0.003454,0.523686,60,700,0.521
Chicago,2022,10,reported,Black,10176,107,5315,0.010515,0.522307,60,700,0.521
Chicago,2022,10,reported,White,3928,17,2076,0.004328,0.528513,60,700,0.521
Chicago,2022,10,reported,Neither,8583,28,4510,0.003262,0.525457,60,700,0.521
Chicago,2022,11,reported,Black,8836,155,4676,0.017542,0.529199,60,700,0.521
Chicago,2022,11,reported,White,3638,46,1888,0.012644,0.518966,60,700,0.521
Chicago,2022,11,reported,Neither,7987,23,4173,0.00288,0.522474,60,700,0.521
Chicago,2022,12,reported,Black,8522,90,4521,0.010561,0.530509,60,700,0.521
Chicago,2022,12,reported,White,3473,35,1759,0.010078,0.506479,60,700,0.521
Chicago,2022,12,reported,Neither,7837,34,4158,0.004338,0.53056,60,700,0.521
